id,name,name_en,name_th,collection,collection_en,collection_th,description,description_en,description_th,category,image_url,is_active,sort_order,created_at,updated_at
44,Be Chic Conditioning Shampoo 20ml,Conditioning Shampoo 20ml,แชมพูผสมครีมนวด 20 มล.,Be Chic,Be Chic Collection,บีชิค คอลเลคชั่น,Nice & chic design and good price for Budget Hotels,Nice & chic design and good price for Budget Hotels,ดีไซน์สวยงามราคาเหมาะสมสำหรับโรงแรมงบประมาณ,Budget Series,,t,1,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
45,Be Chic Shower Gel 20ml,Shower Gel 20ml,เจลอาบน้ำ 20 มล.,Be Chic,Be Chic Collection,บีชิค คอลเลคชั่น,Fresh nice fragrance in soft light blue packaging,Fresh nice fragrance in soft light blue packaging,กลิ่นหอมสดชื่นในบรรจุภัณฑ์สีฟ้าอ่อน,Budget Series,,t,2,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
46,Be Chic Soap 15g,Soap 15g,สบู่ 15 กรัม,Be Chic,Be Chic Collection,บีชิค คอลเลคชั่น,Soap in soft light blue waterproof plastic sachet,Soap in soft light blue waterproof plastic sachet,สบู่ในซองพลาสติกกันน้ำสีฟ้าอ่อน,Budget Series,,t,3,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
47,Bliss Conditioning Shampoo 25ml,Conditioning Shampoo 25ml,แชมพูผสมครีมนวด 25 มล.,Bliss,Bliss Collection,บลิส คอลเลคชั่น,Modern style Mint fragrance for Shampoo,Modern style Mint fragrance for Shampoo,กลิ่นมิ้นท์สไตล์โมเดิร์น,Budget Series,,t,4,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
48,Bliss Shower Gel 25ml,Shower Gel 25ml,เจลอาบน้ำ 25 มล.,Bliss,Bliss Collection,บลิส คอลเลคชั่น,Sakura fragrance for Shower Gel,Sakura fragrance for Shower Gel,กลิ่นซากุระสำหรับเจลอาบน้ำ,Budget Series,,t,5,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
49,Bliss Soap 15g,Soap 15g,สบู่ 15 กรัม,Bliss,Bliss Collection,บลิส คอลเลคชั่น,Plastic wrapped soap,Plastic wrapped soap,สบู่ห่อพลาสติก,Budget Series,,t,6,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
50,Sea Breeze Conditioning Shampoo 30ml,Conditioning Shampoo 30ml,แชมพูผสมครีมนวด 30 มล.,Sea Breeze,Sea Breeze Collection,ซีบรีซ คอลเลคชั่น,Fresh and energizing sea fragrance - Our best seller,Fresh and energizing sea fragrance - Our best seller,กลิ่นทะเลสดชื่นพลังงาน - สินค้าขายดี,Standard Series,,t,10,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
51,Sea Breeze Shower Gel 30ml,Shower Gel 30ml,เจลอาบน้ำ 30 มล.,Sea Breeze,Sea Breeze Collection,ซีบรีซ คอลเลคชั่น,Sea Breeze brings the Sea near you,Sea Breeze brings the Sea near you,ซีบรีซนำทะเลมาถึงคุณ,Standard Series,,t,11,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
52,Sea Breeze Body Lotion 30ml,Body Lotion 30ml,โลชั่นบำรุงผิว 30 มล.,Sea Breeze,Sea Breeze Collection,ซีบรีซ คอลเลคชั่น,Nourishing body lotion with sea fragrance,Nourishing body lotion with sea fragrance,โลชั่นบำรุงผิวกลิ่นทะเล,Standard Series,,t,12,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
53,Sea Breeze Soap 15g,Soap 15g,สบู่ 15 กรัม,Sea Breeze,Sea Breeze Collection,ซีบรีซ คอลเลคชั่น,Plastic wrapped soap,Plastic wrapped soap,สบู่ห่อพลาสติก,Standard Series,,t,13,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
54,Bloom Conditioning Shampoo 30ml,Conditioning Shampoo 30ml,แชมพูผสมครีมนวด 30 มล.,Bloom,Bloom Collection,บลูม คอลเลคชั่น,Fresh and sweet fragrance like spring season,Fresh and sweet fragrance like spring season,กลิ่นหอมสดชื่นเหมือนฤดูใบไม้ผลิ,Standard Series,,t,14,2026-01-14 21:17:59.072832,2026-01-14 21:17:59.072832
